variant,metric,value,ci95_low,ci95_high
base_dqn,mean_final_score,219.36,196.66,250.12
base_dqn,iqm_final_score,208.79999999999998,193.63333333333333,260.06666666666666
base_dqn,mean_optimality_gap,280.64,249.88,303.34
dqn_per,mean_final_score,225.45999999999998,174.28000000000003,292.88000000000005
dqn_per,iqm_final_score,202.0666666666667,166.23333333333332,314.43333333333334
dqn_per,mean_optimality_gap,274.54,207.11999999999998,325.72
dqn_double,mean_final_score,231.99999999999997,219.28,247.01999999999995
dqn_double,iqm_final_score,231.3666666666667,214.9,251.23333333333338
dqn_double,mean_optimality_gap,268.0,252.98000000000005,280.71999999999997
dqn_per_double,mean_final_score,205.94,156.42,255.45999999999995
dqn_per_double,iqm_final_score,210.53333333333333,147.0,268.73333333333335
dqn_per_double,mean_optimality_gap,294.06,244.54000000000005,343.58
